場所,カテゴリー,ジャンル1,ジャンル2,座標
My Style Garden Studio,"全季節, レジャー, 内, カップル・友達・女子旅",体験,,"37.056684040203486, 140.0077504005621"
NASU IONO CAMPSITE,"春・夏・秋, 自然・温泉・宿・カフェ・レストラン, 外, ファミリー・カップル・友達・男子旅",飲食店,宿泊施設,"36.953364655434775, 140.1580103368003"
Nasu Sauna Stay,"全季節, 温泉・宿, 内外, ファミリー・カップル・友達・女子旅",宿泊施設,,"37.08982381289646, 140.03638322703694"
NASU SHOZO CAFE,"全季節, カフェ・レストラン, 内, 全構成",飲食店,,"37.05552441979067, 140.01351229297592"
NOZARU（那須の森の空中アスレチック）,"春・夏・秋, レジャー・アドベンチャー, 外, ファミリー・カップル・友達",レジャー,体験,"37.06636809342332, 139.96808661696434"
ONIBUS COFFEE 那須店,"全季節, カフェ・レストラン, 内, 1人旅・カップル・友達・女子旅",カフェ,,"37.070469610972985, 140.02164424963405"
RESTAURANT　OHARA,"全季節, カフェ・レストラン, 内, 全構成",飲食店,,"37.01913839929043, 140.12042830024515"
somon Atelier,"全季節, レジャー, 内, カップル・友達・女子旅",雑貨屋,,"37.074672982430606, 140.01023738623485"
SUDA COFFEE,"全季節, カフェ・レストラン, 内, 1人旅・カップル・友達・女子旅",カフェ,,"37.032402810505424, 140.0205912906923"
Sweets&LessonLove-Labo,"全季節, カフェ・レストラン, 内, 1人旅・カップル・友達・女子旅",カフェ,,"37.02032789847375, 140.13144740630491"
UNICO embrace olive burger & cafe,"全季節, カフェ・レストラン, 内, 全構成",飲食店,,"37.06906712701791, 140.0266345616486"
WHITE LAMP,"全季節, 自然・温泉・宿, 内外, ファミリー・カップル・友達・女子旅",宿泊施設,,"37.06013590653603, 140.01034592907362"
WHITE NOTE,"全季節, レジャー, 内, カップル・友達・女子旅",雑貨屋,,"37.026017335379045, 140.02390325409576"
アジアンオールドバザール那須,"全季節, レジャー, 内, カップル・友達・女子旅",ショップ,,"37.06281613791348, 140.01208346765725"
あづまや精肉店,"全季節, カフェ・レストラン, 内, 1人旅・ファミリー・友達",スーパー,,"37.0182510973884, 140.12202348114957"
アビルキャンプリゾート那須,"春・夏・秋, 自然・温泉・宿, 外, ファミリー・カップル・友達・男子旅",キャンプ場,,"37.07158102290691, 140.0736801523163"
あまたにチーズ工房,"全季節, カフェ・レストラン, 内, 1人旅・ファミリー・カップル・友達・女子旅",ショップ,,"37.090455898562674, 140.01666420417956"
あるぱーく ALPARK,"春・夏・秋, 自然・レジャー, 外, ファミリー・カップル・友達",体験,,"37.10979378313078, 140.05080420790873"
うつわカフェロータス (cafe Lotus),"全季節, カフェ・レストラン, 内, 1人旅・カップル・友達・女子旅",カフェ,,"37.03955151577065, 140.00393021978485"
うどん匠人 岡本,"全季節, カフェ・レストラン, 内, 全構成",飲食店,,"37.068665866939995, 140.04348937800182"
エヌカカオチョコレート,"全季節, カフェ・レストラン, 内, 1人旅・カップル・友達・女子旅",カフェ,,"37.044134604911804, 140.01705535346716"
お菓子の城 那須ハートランド,"全季節, レジャー・カフェ・レストラン, 内, ファミリー・カップル・友達・女子旅",お土産,体験施設,"37.01726726904383, 140.0304880399437"
お食事処　庄屋,"全季節, カフェ・レストラン, 内, 全構成",飲食店,,"37.07886026976569, 140.00144571496932"
カーロ・フォレスタ那須高原ヴォルペ,"全季節, 温泉・宿・カフェ・レストラン, 内外, ファミリー・カップル・友達・女子旅",飲食店,宿泊施設,"37.08107149684022, 140.00671353799586"
カフェ　杉と胡桃,"全季節, カフェ・レストラン, 内, 1人旅・カップル・友達・女子旅",カフェ,,"37.02137299278622, 140.02775890998507"
カフェファシル,"全季節, カフェ・レストラン, 内, 全構成",飲食店,,"37.03210566845455, 140.02166902675486"
キャンドルハウスシュシュ/クリスマスタウン,"全季節, レジャー, 内, ファミリー・カップル・友達・女子旅",体験,,"37.04332168719832, 140.00595534494735"
クリスタルハンター,"全季節, レジャー, 内, ファミリー・カップル・友達",レジャー,,"37.02180391963176, 140.03778147521908"
こっこランド那須FCG,"春・夏・秋, 自然・温泉・宿, 外, ファミリー・カップル・友達・男子旅",キャンプ場,,"37.05693334677941, 140.0852807234803"
ごはんや　麦,"全季節, カフェ・レストラン, 内, 全構成",飲食店,,"37.042919838603574, 140.00832845841586"
ザパインプライベートサウナラウンジ,"全季節, 温泉・宿, 内, カップル・友達・女子旅",サウナ,,"37.09684014987652, 140.04267635416466"
サンバレー美術館,"全季節, レジャー, 内, 1人旅・カップル・友達・女子旅",美術館,,"37.08784933621137, 140.0050965825212"
ジャム工房ベリー,"全季節, カフェ・レストラン, 内, 1人旅・カップル・友達・女子旅",カフェ,ショップ,"37.07033386385832, 140.01295675416375"
ジョイア・ミーア　那須本店,"全季節, カフェ・レストラン, 内, 全構成",飲食店,,"37.06754349684352, 140.01308937301098"
しらさぎ湖,"春・夏・秋, 自然, 外, 1人旅・カップル・友達",自然,,"37.09557441449226, 140.03967581164255"
スーパースター博物館,"全季節, レジャー, 内, 1人旅・カップル・友達・女子旅",博物館,,"37.00843311870563, 140.0320952676694"
スーパーせきマート 黒田原音羽店,"全季節, カフェ・レストラン, 内, 1人旅・ファミリー・友達",スーパー,,"37.02224076924732, 140.1189682410669"
ステーキハウス寿楽 本店,"全季節, カフェ・レストラン, 内, 1人旅・カップル・友達・女子旅",カフェ,,"37.077440294802905, 140.0139783706348"
ゼロイチ×KUROBOSHI,"全季節, カフェ・レストラン, 内, 1人旅・カップル・友達・女子旅",カフェ,,"37.02170962204658, 140.12004498114965"
ゼロイチカスタマイズCafe,"全季節, カフェ・レストラン, 内, 1人旅・カップル・友達・女子旅",カフェ,,"37.021679668909414, 140.11994842511868"
そば工房 五色庵,"全季節, カフェ・レストラン, 内, 全構成",飲食店,,"37.038943870824326, 140.01562138161745"
ダイユー黒田原店,"全季節, カフェ・レストラン, 内, 1人旅・ファミリー・友達",スーパー,,"37.01916929775593, 140.1204699964911"
チーズガーデン那須本店,"全季節, カフェ・レストラン・レジャー, 内外, 全構成",ショップ,,"37.029154610073824, 140.02371584251551"
チーズケーキ工房MANIWAFARM,"全季節, カフェ・レストラン, 内, 1人旅・カップル・友達・女子旅",カフェ,,"37.07354531415054, 140.08266171183453"
ちふり　やすらぎの森,"春・夏・秋, 自然, 外, 1人旅・ファミリー・カップル・友達",自然,,"37.07888499916812, 140.10206526531738"
つつじ吊り橋,"春・夏・秋, 自然・レジャー, 外, 1人旅・ファミリー・カップル・友達・女子旅",名所,,"37.10447722445795, 140.00002591231853"
つるこキッチン,"全季節, カフェ・レストラン, 内, 全構成",飲食店,,"37.04897785101609, 140.0071121134945"
ティーガーデン　ナチュール,"春・夏・秋, 自然・カフェ・レストラン, 内外, カップル・友達・女子旅",カフェ,,"37.02954301389402, 140.05251935231465"
トリックアート ミケランジェロ館,"全季節, アート・体験, 内, ファミリー・カップル・友達",美術館,,"37.03152937221457, 140.03589182074933"
トリックアートの館,"全季節, レジャー, 内, 1人旅・カップル・友達・女子旅",美術館,,"37.031239789786945, 140.03058688294468"
トリックアート迷宮?館,"全季節, アート・体験, 内, ファミリー・カップル・友達",美術館,,"37.031115768221966, 140.03537544041123"
トレイルビレッジ那須,"春・夏・秋, 自然・温泉・宿, 外, ファミリー・カップル・友達・男子旅",宿泊施設,,"37.097954697260015, 140.05957710635363"
トレジャーストーンパーク,"全季節, レジャー, 内, ファミリー・カップル・友達",レジャー,,"37.05014664304154, 140.03102050907216"
那須サファリパーク,"春・夏・秋, 自然・レジャー, 内外, ファミリー・カップル・友達",レジャー,,"37.05938324965025, 140.00619985229326"
なすのすな,"全季節, レジャー, 内, ファミリー・カップル・友達・女子旅",体験,,"37.03463657377906, 140.03861362905752"
なす高原YUMOTO CAMP,"春・夏・秋, 自然・温泉・宿, 外, ファミリー・カップル・友達・男子旅",宿泊施設,,"37.07414816962959, 140.0100750677106"
ハーブの店花薄荷,"全季節, レジャー, 内, カップル・友達・女子旅",ショップ,,"37.033871908312705, 140.02044302790807"
バジルの葉,"全季節, カフェ・レストラン, 内, 全構成",飲食店,,"37.079929768051855, 140.00086302468276"
パン工房ベル・フルール,"全季節, カフェ・レストラン, 内, 1人旅・カップル・友達・女子旅",カフェ,,"37.067841694984374, 140.0132390856566"
フルーツパーク森の風,"春・夏・秋, 自然・レジャー・カフェ・レストラン, 外, ファミリー・カップル・友達・女子旅",レジャー,,"37.049415592601065, 140.0408110865317"
ペニーレイン那須店,"全季節, カフェ・レストラン, 内, 1人旅・カップル・友達・女子旅",カフェ,ベーカリー,"37.068931675464455, 139.99996780998694"
ボリジ,"全季節, カフェ・レストラン, 内, 全構成",飲食店,,"37.05608841212725, 140.01336724330412"
ホリビア/ポミエ,"全季節, カフェ・レストラン, 内, 全構成",飲食店,,"37.031598420796136, 140.0427074382475"
ぽんぽこの森FAMILY CAMP場,"春・夏・秋, 自然・温泉・宿, 外, ファミリー・カップル・友達・男子旅",宿泊施設,,"37.08424486048988, 140.00639006031605"
ミスタービーフ,"全季節, カフェ・レストラン, 内, 全構成",飲食店,,"37.08018968638843, 140.01438984417584"
ムースファミリーキャンプリゾート,"春・夏・秋, 自然・温泉・宿, 外, ファミリー・カップル・友達・男子旅",宿泊施設,,"37.00109712259092, 140.136211567665"
メロンパン工房 Cafe サンタフェ,"全季節, カフェ・レストラン, 内, 1人旅・カップル・友達・女子旅",カフェ,,"37.041479776546915, 140.01443869279692"
ラ・ヴィータ・エ・ベッラ那須高原,"全季節, カフェ・レストラン, 内, 全構成",飲食店,,"37.0906950882118, 140.01135079333744"
ラーメンたかはし,"全季節, カフェ・レストラン, 内, 全構成",飲食店,,"36.94563221169448, 140.04587676811843"
レストラン蒸氣汽関車,"全季節, カフェ・レストラン, 内, 全構成",飲食店,,"37.02638949325908, 140.03023024213823"
わくわく体験館,"全季節, レジャー, 内, ファミリー・カップル・友達・女子旅",レジャー,,"37.046807622499436, 140.0468460062954"
芦野温泉,"全季節, 温泉・宿, 内, 1人旅・カップル・友達",温泉,,"36.98918175331733, 140.14890321145734"
芦野城跡,"春・夏・秋, 自然・レジャー, 外, 1人旅・カップル・友達",名所,,"37.00106319308791, 140.166420414567"
英国伝統紅茶館アンティーズ,"全季節, カフェ・レストラン, 内, 1人旅・カップル・友達・女子旅",カフェ,,"37.06866625190413, 140.00233611086855"
加仁家麺房,"全季節, カフェ・レストラン, 内, 全構成",飲食店,,"37.01333919734343, 140.12799739819346"
菓子工房 Katsumi那須,"全季節, カフェ・レストラン, 内, 1人旅・カップル・友達・女子旅",ケーキ屋,,"37.02709358753488, 140.14679399649125"
殻々工房　カラカラコウボウ,"全季節, カフェ・レストラン, 内, 1人旅・カップル・友達",バー,,"37.05072768748517, 140.00646529649225"
喜文亭,"全季節, カフェ・レストラン, 内, 全構成",飲食店,,"37.02067159680777, 140.11740450828543"
喫茶新川屋,"全季節, カフェ・レストラン, 内, 1人旅・カップル・友達・女子旅",カフェ,喫茶,"36.996793892263604, 140.14975473697191"
弓乃湯,"全季節, 温泉・宿, 内, 1人旅・カップル・友達",温泉,,"37.00802103678922, 140.02357216090073"
旧青木家那須別邸,"全季節, 歴史・文化, 内外, ファミリー・カップル・友達",博物館,,"37.00129528695409, 139.9850651621438"
京や,"全季節, カフェ・レストラン, 内, 全構成",飲食店,,"37.017778890868634, 140.13097480381617"
兼ちゃんのうどん屋だよ,"全季節, カフェ・レストラン, 内, 全構成",飲食店,,"37.05548534549317, 140.0925642013361"
源泉　那須山　令和の湯,"全季節, 温泉・宿, 内, 1人旅・カップル・友達",温泉,,"37.0185150063698, 140.03142072866643"
吾妻窯,"全季節, レジャー, 内, ファミリー・カップル・友達・女子旅",体験,,"37.02421161941282, 140.02143059836527"
黒田原駅前みんなの店,"全季節, レジャー, 内外, 全構成",道の駅,,"37.0233821844434, 140.11980683699275"
黒田原神社,"全季節, レジャー, 外, 1人旅・カップル・友達",名所,,"37.019614346904866, 140.11785231370544"
菜の花畑,"春, 自然, 外, カップル・友達・女子旅",自然,,"37.010729554221804, 140.15039588732398"
殺生石,"全季節, 自然・レジャー, 外, 1人旅・ファミリー・カップル・友達",名所,,"37.09952300194355, 140.00028503994778"
鹿の湯,"全季節, 温泉・宿, 内, 1人旅・カップル・友達",温泉,,"37.24263179441699, 140.00133532350807"
手打ちそば　小椋,"全季節, カフェ・レストラン, 内, 全構成",飲食店,,"37.050258728497106, 140.03828082389728"
小太郎茶屋,"春・夏・秋, カフェ・レストラン・自然, 内外, 1人旅・カップル・友達・女子旅",カフェ,,"36.96128520847781, 139.82792243988777"
沼ッ原湿原,"春・夏・秋, 自然, 外, 1人旅・カップル・友達・男子旅",自然,,"37.10674357811907, 139.93121862078476"
焼き菓子店 蕾（つぼみ）,"全季節, カフェ・レストラン, 内, 全構成",カフェ,飲食店,"37.073225477722254, 140.0960232216335"
新那須温泉,"全季節, 温泉・宿, 内, 1人旅・カップル・友達",温泉,,"37.09994933298083, 140.00040108302156"
森と遊ぶ「香りの蒸留所」,"全季節, 自然・レジャー, 内外, カップル・友達・女子旅",体験,,"37.0438811428645, 140.00918086029068"
森のVoiVoi,"全季節, カフェ・レストラン, 内, 1人旅・カップル・友達・女子旅",カフェ,,"37.05386778396865, 140.01428576580946"
森のカフェ　風雅,"全季節, カフェ・レストラン, 内, 1人旅・カップル・友達・女子旅",カフェ,,"37.078259446527454, 140.01239150744354"
森林ノ牧場　那須,"春・夏・秋, 自然・カフェ・レストラン, 内外, ファミリー・カップル・友達・女子旅",カフェ,,"37.10198818164072, 140.13323029649428"
薪ストーブとコーヒーの店cafe st.Croix(サンクロワ),"全季節, カフェ・レストラン, 内, 1人旅・カップル・友達・女子旅",カフェ,,"37.04237610907915, 140.01810995416258"
水車の里　瑞穂蔵,"全季節, カフェ・レストラン, 内, 全構成",飲食店,,"37.08152300489434, 140.01390630851913"
瑞玉珈琲　mizutama coffee,"全季節, カフェ・レストラン, 内, 1人旅・カップル・友達・女子旅",カフェ,,"37.043031101469296, 140.01197824406182"
石の愉楽,"全季節, レジャー, 内, ファミリー・カップル・女子旅",レジャー,,"37.03994119878859, 140.01477407792433"
石臼挽手打蕎麦　丹凜,"全季節, カフェ・レストラン, 内, 全構成",飲食店,,"37.07209085625257, 140.0034605327966"
戦争博物館,"全季節, レジャー, 内, 1人旅・友達・男子旅",博物館,,"37.06176383742067, 140.01228788358702"
相田みつお　那須ギャラリー,"全季節, レジャー, 内, 1人旅・カップル・友達・女子旅",美術館,,"37.039302037202184, 140.01552878303156"
大衆食堂　さつき,"全季節, カフェ・レストラン, 内, 全構成",飲食店,,"37.09209122840887, 140.0604049354115"
茶臼岳,"春・夏・秋, 自然・レジャー, 外, 1人旅・友達・男子旅",名所,,"37.12823038338656, 139.97648086270453"
茶屋 卯三郎,"全季節, カフェ・レストラン, 内, 全構成",飲食店,,"37.0463180092473, 140.0183888507226"
中村屋志水,"全季節, カフェ・レストラン, 内, 1人旅・カップル・友達・女子旅",カフェ,ベーカリー,"37.019973326941056, 140.11865441183235"
鉄板焼肉　吉田屋,"全季節, カフェ・レストラン, 内, 全構成",飲食店,,"37.03565772750279, 140.13113982661977"
東山道那須温泉,"全季節, 温泉・宿, 内, 1人旅・カップル・友達",温泉,,"36.948556134374144, 140.1519581504501"
藤城清治美術館,"全季節, レジャー, 内, 1人旅・カップル・友達・女子旅",美術館,,"37.08391861959788, 140.00434444497293"
陶芸体験教室　亀工房,"全季節, レジャー, 内, ファミリー・カップル・友達・女子旅",体験,,"37.08307322876505, 140.01377903703033"
道の駅　東山道伊王野,"全季節, レジャー, 内外, 全構成",道の駅,,"36.95442970973301, 140.1563874221484"
道の駅 那須高原友愛の森,"全季節, レジャー, 内外, 全構成",道の駅,,"37.04094596687232, 140.01335471346536,"
那須　花と森の体験,"春・夏・秋, 自然・レジャー, 内外, ファミリー・カップル・友達・女子旅",レジャー,,"37.01737801528987, 140.0320480951621"
那須　北匠庵,"全季節, カフェ・レストラン, 内, 全構成",飲食店,,"37.080978189123805, 140.0089012800949"
那須・芦野　石の美術館,"全季節, レジャー, 内, 1人旅・カップル・友達・女子旅",美術館,,"36.99209125872437, 140.1632681449151"
那須661 ワインヒルズGrill,"全季節, カフェ・レストラン・レジャー, 内, カップル・友達・女子旅",ショップ,,"37.04154083143783, 140.0431882848454"
那須オルゴール美術館,"全季節, レジャー, 内, 1人旅・カップル・友達・女子旅",美術館,,"37.04474445205126, 140.0279697597501"
那須ガーデンアウトレット,"全季節, レジャー, 内外, 全構成",アウトレット,,"36.96929672849789, 139.98667448755418"
那須カフェテラスV8,"全季節, カフェ・レストラン, 内, 1人旅・カップル・友達・女子旅",カフェ,,"37.03152302704034, 140.03407267562594"
那須クラシックカー博物館,"全季節, レジャー, 内, 1人旅・カップル・友達・女子旅",博物館,,"37.02730844646513, 140.0337998035986"
那須クレシオン　カフェ,"全季節, カフェ・レストラン, 内, 1人旅・カップル・友達・女子旅",カフェ,,"37.071092501455794, 140.12241973697482"
那須ジャージー,"春・夏・秋, カフェ・レストラン・自然, 内外, ファミリー・カップル・友達・女子旅",カフェ,,"37.148118929204436, 140.116421626738"
那須ステンドグラス美術館,"全季節, レジャー, 内, 1人旅・カップル・友達・女子旅",美術館,,"37.066183026053785, 140.02570599294992"
那須テディベア・ミュージアム,"全季節, レジャー, 内, ファミリー・カップル・友達・女子旅",レジャー,,"37.049268966058975, 140.03958166210805"
那須どうぶつ王国,"春・夏・秋, 自然・レジャー, 内外, ファミリー・カップル・友達",レジャー,,"37.12919121771407, 140.03713220339773"
那須ハイランドパーク,"春・夏・秋, レジャー, 外, ファミリー・カップル・友達",レジャー,,"37.06725689705362, 139.9629828032408"
那須バギーパーク,"春・夏・秋, レジャー, 外, 1人旅・友達・男子旅",レジャー,,"37.07817370589232, 140.00262160345775"
那須ハミルの森,"全季節, 温泉・宿, 内外, ファミリー・カップル・友達・女子旅",宿泊施設,,"37.041037109230466, 140.01526990736227"
那須フラワーワールド,"春・夏・秋, 自然・レジャー, 外, ファミリー・カップル・友達・女子旅",自然,,"37.10938197755529, 140.0830485983173"
那須プレリーオートキャンプ場,"春・夏・秋, 自然・温泉・宿, 外, ファミリー・カップル・友達・男子旅",宿泊施設,,"37.10351333664711, 140.07398628307183"
那須モータースポーツランド,"春・夏・秋, レジャー, 外, 1人旅・友達・男子旅",レジャー,,"36.97122598673167, 140.12743946668195"
那須ユートピア　サウナ,"全季節, 温泉・宿, 内外, 1人旅・カップル・友達・女子旅",温泉,サウナ,"36.98449661418835, 140.2075220679661"
那須ラスクテラス,"全季節, カフェ・レストラン, 内, 1人旅・カップル・友達・女子旅",カフェ,,"37.041720476964144, 140.0149149830333"
那須リゾートショッピングパーク６６１ＳＴ,"全季節, レジャー・カフェ・レストラン, 内外, 全構成",ショップ,,"37.00794759327829, 140.03172746580776"
那須ロープウェイ,"春・夏・秋, 自然・レジャー, 外, 1人旅・カップル・友達・男子旅",レジャー,,"37.12521705270146, 139.98047376709303"
那須ワールドモンキーパーク,"春・夏・秋, 自然・レジャー, 内外, ファミリー・カップル・友達",レジャー,,"37.03527091466298, 140.0485036080209"
那須わっぱ　おだやか,"全季節, カフェ・レストラン, 内, 全構成",飲食店,,"37.080483323141266, 140.00747841349448"
那須温泉グランピングNenn,"全季節, 温泉・宿, 内外, ファミリー・カップル・友達・女子旅",宿泊施設,,"37.03306101596509, 140.02119683699905"
那須温泉ストリーム,"全季節, 温泉・宿, 内外, 1人旅・カップル・友達",温泉,宿泊施設,"37.06354641509362, 140.00890748511208"
那須渓流パーク,"春・夏・秋, 自然・レジャー, 外, ファミリー・カップル・友達・男子旅",パーク,,"37.07777642805736, 139.9988269900718"
那須御用邸,"全季節, 自然・レジャー, 外, 1人旅・カップル・友達",名所,,"37.11814354832299, 140.00832710636635"
那須高原HERB's,"春・夏・秋, 自然・カフェ・レストラン, 内外, カップル・友達・女子旅",カフェ,,"37.062697066563786, 140.00084440633168"
那須高原アカルパ,"春・夏・秋, 自然・温泉・宿, 外, ファミリー・カップル・友達・男子旅",宿泊施設,,"37.098735852559535, 140.06126595978412"
那須高原オートキャンプ場　クアトロぺロス,"春・夏・秋, 自然・温泉・宿, 外, ファミリー・カップル・友達・男子旅",キャンプ場,,"37.05267271755183, 140.0516431797287"
那須高原ステーキとハンバーグの店 Outburst&Ponta,"全季節, カフェ・レストラン, 内, 全構成",飲食店,,"37.057682685489, 140.01192409928672"
那須高原バル,"全季節, カフェ・レストラン, 内, 全構成",飲食店,,"37.047816448346104, 140.01326093981413"
那須高原パンのいえ　クーロンヌ　リネア,"全季節, カフェ・レストラン, 内, 1人旅・カップル・友達・女子旅",ベーカリー,,"37.045833731390786, 140.00553591183342"
那須高原みちのく　民芸店　喫茶コーナー,"全季節, カフェ・レストラン, 内, 1人旅・カップル・友達・女子旅",カフェ,,"37.09578364841027, 140.00148644363128"
那須高原りんどう湖ファミリー牧場,"春・夏・秋, 自然・レジャー・カフェ・レストラン, 内外, ファミリー・カップル・友達",レジャー,,"37.04079336717096, 140.0474067018405"
那須高原南が丘牧場,"春・夏・秋, 自然・レジャー・カフェ・レストラン, 外, ファミリー・カップル・友達",レジャー,,"37.078483351774985, 140.00086459393364"
那須高原農園いちごの森,"冬・春, 自然・レジャー, 内, ファミリー・カップル・友達・女子旅",体験,,"37.02028453403324, 140.0311819676768"
那須国際射撃場,"全季節, レジャー, 内外, 1人旅・友達・男子旅",レジャー,,"37.00648832635025, 140.02692245343547"
那須昆虫ワールド,"全季節, レジャー・カフェ・レストラン, 内, ファミリー・カップル・友達",美術館,カフェ,"37.040220761128964, 140.0171013904332"
那須疏水公園,"春・夏・秋, 自然・レジャー, 外, ファミリー・カップル・友達",公園,,"37.038004748981194, 139.98617127662115"
那須茶寮,"全季節, カフェ・レストラン, 内, 全構成",飲食店,,"37.06019744273606, 140.01207129355817"
那須平成の森,"春・夏・秋, 自然, 外, 1人旅・ファミリー・カップル・友達",公園,,"37.11725351438911, 140.00722540546732"
那須陽光ゴルフクラブ,"春・夏・秋, レジャー, 外, 1人旅・友達・男子旅",レジャー,,"37.02189814526111, 140.17070755896788"
那須歴史探訪館,"全季節, レジャー, 内, 1人旅・ファミリー・カップル・友達",美術館,博物館,"36.989898123592916, 140.16493186711674"
那須珈琲CafeLaDetente,"全季節, カフェ・レストラン, 内, 1人旅・カップル・友達・女子旅",カフェ,,"37.020714179634076, 140.11953465767195"
芭蕉庵,"全季節, カフェ・レストラン, 内, 全構成",飲食店,,"36.98929927941783, 140.16311846437915"
八幡のつつじ群落,"春, 自然, 外, 1人旅・カップル・友達・女子旅",自然,,"37.111898123805794, 140.00395952261184"
非電化カフェ,"春・夏・秋, 自然・カフェ・レストラン, 内外, 1人旅・カップル・友達・女子旅",カフェ,,"37.06106620322785, 140.0959919118341"
穂ほ笑みの森,"春・夏・秋, 自然・カフェ・レストラン, 内外, カップル・友達・女子旅",カフェ,,"36.93980065272841, 140.12210813881725"
無垢の音,"全季節, 温泉・宿, 内外, ファミリー・カップル・友達・女子旅",宿泊施設,,"37.060231423314, 139.97818906770192"
麺屋 すがぞう,"全季節, カフェ・レストラン, 内, 全構成",飲食店,,"37.038317762510964, 140.0977114779618"
麺工房式右衛門,"全季節, カフェ・レストラン, 内, 全構成",飲食店,,"36.96089420709427, 140.18232610461752"
遊行柳,"全季節, 自然・レジャー, 外, 1人旅・カップル・友達",遺跡,,"36.99519228211663, 140.1653224265194"
余笹川　ふれあい公園,"春・夏・秋, 自然・レジャー, 外, ファミリー・カップル・友達",公園,,"37.01834373924139, 140.1106896285249"
妖精の森 メッツァラウハ,"全季節, カフェ・レストラン, 内, 1人旅・カップル・友達・女子旅",カフェ,,"37.0539881034824, 140.01513468295914"
恋人の聖地展望台,"全季節, 自然・レジャー, 外, カップル・友達・女子旅",名所,,"37.10510379288387, 139.99572606663506"
苺氷り那須本舗,"全季節, カフェ・レストラン, 内, 1人旅・カップル・友達・女子旅",カフェ,,"37.062548490226206, 140.012136946022"
